SampleLabel,Date,Location,Trip,Year,ConcCu,Units,Sample_Type
PE_A_3.21_SCU_DU,20210821,Pear,3,2021,1.52,ug/g dry wt,Duplicate
PE_B_3.21_SCU_ZZ,20210821,Pear,3,2021,4.02,ug/g dry wt,Standard
PE_C_3.21_SCU_ZZ,20210821,Pear,3,2021,2.98,ug/g dry wt,Standard
TO_A_3.21_SCU_ZZ,20210821,Topaz,3,2021,11.1,ug/g dry wt,Standard
TO_B_3.21_SCU_ZZ,20210821,Topaz,3,2021,28.8,ug/g dry wt,Standard
TO_C_3.21_SCU_ZZ,20210821,Topaz,3,2021,28.8,ug/g dry wt,Standard
TO_C_3.21_SCU_DU,20210821,Topaz,3,2021,15.4,ug/g dry wt,Duplicate
LY_A_1.22_SCU_ZZ,20220625,Lyness,1,2022,8.6,ug/g dry wt,Standard
LY_B_1.22_SCU_ZZ,20220625,Lyness,1,2022,10.2,ug/g dry wt,Standard
LY_C_1.22_SCU_ZZ,20220625,Lyness,1,2022,11.2,ug/g dry wt,Standard
LY_C_1.22_SCU_DU,20220625,Lyness,1,2022,12.2,ug/g dry wt,Duplicate
HE_A_1.22_SCU_ZZ,20220623,Heather,1,2022,1.41,ug/g dry wt,Standard
HE_A_1.22_SCU_DU,20220623,Heather,1,2022,1.85,ug/g dry wt,Duplicate
HE_B_1.22_SCU_ZZ,20220623,Heather,1,2022,1.77,ug/g dry wt,Standard
HE_C_1.22_SCU_ZZ,20220623,Heather,1,2022,6.99,ug/g dry wt,Standard
EM_A_1.22_SCU_ZZ,20220622,Emerald,1,2022,3.18,ug/g dry wt,Standard
EM_A_1.22_SCU_DU,20220622,Emerald,1,2022,2.58,ug/g dry wt,Duplicate
EM_B_1.22_SCU_ZZ,20220622,Emerald,1,2022,3.2,ug/g dry wt,Standard
EM_C_1.22_SCU_ZZ,20220622,Emerald,1,2022,2.83,ug/g dry wt,Standard
TO_A_1.22_SCU_ZZ,20220624,Topaz,1,2022,29.2,ug/g dry wt,Standard
TO_A_1.22_SCU_DU,20220624,Topaz,1,2022,32,ug/g dry wt,Duplicate
TO_B_1.22_SCU_ZZ,20220624,Topaz,1,2022,12.5,ug/g dry wt,Standard
TO_C_1.22_SCU_ZZ,20220624,Topaz,1,2022,12.4,ug/g dry wt,Standard
FR_A_1.22_SCU_ZZ,20220626,Frog,1,2022,16.7,ug/g dry wt,Standard
FR_B_1.22_SCU_ZZ,20220626,Frog,1,2022,5.28,ug/g dry wt,Standard
