Year,Trip,Date,Time,Location,Depth_m,Placement,NomDepth_m,Metric,Units,Value
2021,1,20210618,13:48:20,Emerald,4.878,mid,5,DO,mg/L,9.1
2021,1,20210618,13:48:20,Emerald,4.878,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:20,Emerald,4.878,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:20,Emerald,4.878,mid,5,pH,NA,8.52
2021,1,20210618,13:48:20,Emerald,4.878,mid,5,Temperature,degrees Celsius,11.941
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,DO,mg/L,9.11
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,pH,NA,8.52
2021,1,20210618,13:48:25,Emerald,4.877,mid,5,Temperature,degrees Celsius,11.963
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,DO,mg/L,9.11
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,pH,NA,8.51
2021,1,20210618,13:48:30,Emerald,4.875,mid,5,Temperature,degrees Celsius,11.969
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,DO,mg/L,9.11
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,pH,NA,8.5
2021,1,20210618,13:48:35,Emerald,4.874,mid,5,Temperature,degrees Celsius,11.972
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,DO,mg/L,9.11
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,pH,NA,8.49
2021,1,20210618,13:48:40,Emerald,4.872,mid,5,Temperature,degrees Celsius,11.958
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,DO,mg/L,9.12
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,pH,NA,8.49
2021,1,20210618,13:48:45,Emerald,4.871,mid,5,Temperature,degrees Celsius,11.904
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,Chlorophylla,RFU,0
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,DO,mg/L,9.13
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,Conductivity,uS/cm,5.1
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,Phycocyanin,RFU,0
2021,1,20210618,13:48:50,Emerald,4.872,mid,5,pH,NA,8.49
